Commodity,Year,Month,Price per Quintal
Maize,2022,June,1696.8
Maize,2022,July,1838.2
Maize,2022,August,1706.8999999999999
Maize,2022,September,1868.5
Maize,2022,November,1565.5
Maize,2022,December,1565.5
Maize,2023,January,1666.5
Maize,2023,February,1666.5
Maize,2023,March,1747.3
Maize,2023,April,1757.3999999999999
Maize,2023,May,1747.3
Maize,2023,July,1767.5
Maize,2023,August,1747.3
Maize,2023,September,2211.9
Maize,2023,October,2020.0
Maize,2023,November,2020.0
Maize,2023,December,2020.0
Maize,2024,January,2272.5
Maize,2024,February,2020.0
Maize,2024,March,2272.5
Maize,2024,April,1882.236
Maize,2024,May,2272.5
Maize,2024,June,2146.25
Maize,2024,July,1767.5
Maize,2024,August,2272.5
Maize,2024,September,2424.0
Maize,2024,October,2272.5
Maize,2024,November,2104.1330000000003
Maize,2024,December,2016.5659999999998
Maize,2025,January,1809.819
Maize,2025,February,1938.291
Maize,2025,March,1758.4099999999999
Maize,2025,April,1638.119
Maize,2025,May,1792.043
Millet,2020,January,1874.3999999999999
Millet,2020,February,1900.8
Millet,2020,March,1914.0
Millet,2020,April,1980.0
Millet,2020,May,2032.8
Millet,2020,June,2046.0
Millet,2020,July,2194.5
Millet,2020,August,2310.0
Millet,2020,September,2376.0
Millet,2020,October,2864.3999999999996
Millet,2020,November,2877.6
Millet,2020,December,2653.2
Millet,2021,January,2706.0
Millet,2021,February,2442.0
Millet,2021,March,2402.4
Millet,2021,April,2442.0
Millet,2021,May,2547.6
Millet,2021,June,2640.0
Millet,2021,July,2772.0
Millet,2021,August,2904.0
Millet,2021,September,2970.0
Millet,2021,October,3300.0
Millet,2021,November,2178.0
Millet,2021,December,2164.7999999999997
Millet,2022,January,2072.4
Millet,2022,February,2112.0
Millet,2022,March,1980.0
Millet,2022,April,1966.8
Millet,2022,May,2046.0
Millet,2022,June,2217.6
Millet,2022,July,2283.6
Millet,2022,August,2230.7999999999997
Millet,2022,September,2574.0
Millet,2022,November,2112.0
Millet,2022,December,2112.0
